16650 -> error: 4.588089550085579
16675 -> error: 4.594590090793409
16700 -> error: 2.438998324266572
16725 -> error: 4.143240624329433
16750 -> error: 3.8193946156960155
16775 -> error: 3.0083124711289875
16800 -> error: 6.969609092138295
16825 -> error: 4.74954884042917
16850 -> error: 4.765682232622522
16875 -> error: 3.97756819383053
16900 -> error: 3.906717135154385
16925 -> error: 4.25963353403063
16950 -> error: 3.2290323701230137
16975 -> error: 4.356124705369495
17000 -> error: 4.623886386729546
17025 -> error: 6.416608372543224
17050 -> error: 4.980250837757313
17075 -> error: 4.261667728555722
17100 -> error: 2.4728464833825
17125 -> error: 3.67557186945173
17150 -> error: 4.242960541544606
17175 -> error: 3.413330837735615
17200 -> error: 3.8731363798832716
17225 -> error: 5.6039203272948095
17250 -> error: 4.368819312335758
17275 -> error: 3.4019273400191867
17300 -> error: 5.583979592950033
17325 -> error: 3.813072786922529
17350 -> error: 4.46362266630244
17375 -> error: 3.646361191093538
17400 -> error: 5.628505885798622
17425 -> error: 2.6301021944794774
17450 -> error: 3.725970527126933
17475 -> error: 7.005552541981041
17500 -> error: 4.332103016622626
17525 -> error: 4.094302074683763
17550 -> error: 3.661094651083123
17575 -> error: 4.883763774523362
17600 -> error: 4.965614337081456
17625 -> error: 4.935246786422692
17650 -> error: 6.245166893493551
17675 -> error: 5.884605509355103
17700 -> error: 4.74601196720947
17725 -> error: 4.679588253134251
17750 -> error: 4.526632758356737
17775 -> error: 5.76160123026336
17800 -> error: 4.089025668837279
17825 -> error: 2.191519613614697
17850 -> error: 2.874840607578433
17875 -> error: 4.596353428942339
17900 -> error: 2.9656844524055885
17925 -> error: 4.9676427987110685
17950 -> error: 4.949217015772684
